Date,Ticker,Action,Shares,Trade Price,Cash Balance,Portfolio Snapshot,Total Portfolio Value
2022-03-22,NVDA,BUY,18,26.484472274780273,9262.861494064331,{'NVDA': 457},21366.265323638916
2022-03-23,NVDA,BUY,19,25.595800399780273,8776.541286468506,{'NVDA': 476},20960.142276763916
2022-03-24,NVDA,BUY,17,28.108049392700195,8298.704446792603,{'NVDA': 493},22155.9727973938
2022-03-25,NVDA,BUY,18,27.650733947753903,7800.991235733032,{'NVDA': 511},21930.51628303528
2022-03-28,NVDA,BUY,17,28.17694854736328,7321.983110427856,{'NVDA': 528},22199.41194343567
2022-03-29,NVDA,BUY,17,28.613290786743164,6835.557167053223,{'NVDA': 545},22429.800645828247
2022-03-30,NVDA,BUY,18,27.64873695373535,6337.879901885986,{'NVDA': 563},21904.11880683899
2022-03-31,NVDA,BUY,18,27.245336532592773,5847.463844299316,{'NVDA': 581},21677.004369735718
2022-04-01,NVDA,BUY,18,26.67219352722168,5367.364360809326,{'NVDA': 599},21344.008283615112
2022-04-04,NVDA,BUY,18,27.31922721862793,4875.618270874023,{'NVDA': 617},21731.581464767456
2022-04-05,NVDA,BUY,18,25.892353057861328,4409.5559158325195,{'NVDA': 635},20851.200107574463
2022-04-06,NVDA,BUY,18,24.370630264282227,3970.8845710754395,{'NVDA': 653},19884.906133651733
2022-04-07,NVDA,BUY,16,24.17192649841309,3584.13374710083,{'NVDA': 669},19755.152574539185
2022-04-08,NVDA,BUY,15,23.084545135498047,3237.8655700683594,{'NVDA': 684},19027.694442749023
2022-04-11,NVDA,BUY,14,21.884336471557617,2931.4848594665527,{'NVDA': 698},18206.75171661377
2022-04-12,NVDA,BUY,13,21.471954345703125,2652.349452972412,{'NVDA': 711},17918.908992767334
2022-04-13,NVDA,BUY,11,22.169912338256836,2408.480417251587,{'NVDA': 722},18415.157125473022
2022-04-14,NVDA,BUY,11,21.226316452026367,2174.990936279297,{'NVDA': 733},17733.880895614624
2022-04-18,NVDA,BUY,9,21.750537872314453,1979.2360954284668,{'NVDA': 742},18118.13519668579
2022-04-19,NVDA,BUY,8,22.1649227142334,1801.9167137145996,{'NVDA': 750},18425.60874938965
2022-04-20,NVDA,BUY,8,21.44998550415039,1630.3168296813965,{'NVDA': 758},17889.405841827393
2022-04-21,NVDA,BUY,8,20.152923583984375,1469.0934410095215,{'NVDA': 766},16906.232906341553
2022-04-22,NVDA,BUY,7,19.485918045043945,1332.6920146942139,{'NVDA': 773},16395.306663513184
2022-04-25,NVDA,BUY,6,19.872339248657227,1213.4579792022705,{'NVDA': 779},16694.01025390625
2022-04-26,NVDA,BUY,6,18.760000228881836,1100.8979778289795,{'NVDA': 785},15827.49815750122
2022-04-27,NVDA,BUY,5,18.38755798339844,1008.9601879119873,{'NVDA': 790},15535.130994796757
2022-04-28,NVDA,BUY,5,19.752519607543945,910.1975898742676,{'NVDA': 795},16613.450677871704
2022-04-29,NVDA,BUY,4,18.519357681274418,836.1201591491699,{'NVDA': 799},15633.08694648743
2022-05-02,NVDA,BUY,4,19.50389289855957,758.1045875549316,{'NVDA': 803},16419.730585098267
2022-05-03,NVDA,BUY,3,19.57278633117676,699.3862285614014,{'NVDA': 806},16475.05201148987
2022-05-04,NVDA,BUY,3,20.303693771362305,638.4751472473145,{'NVDA': 809},17064.16340827942
2022-05-05,NVDA,BUY,3,18.815916061401367,582.0273990631104,{'NVDA': 812},15860.55124092102
2022-05-06,NVDA,BUY,3,18.647167205810547,526.0858974456787,{'NVDA': 815},15723.527170181274
2022-05-09,NVDA,BUY,3,16.92474365234375,475.31166648864746,{'NVDA': 818},14319.751974105835
2022-05-10,NVDA,BUY,2,17.568777084350586,440.1741123199463,{'NVDA': 820},14846.571321487427
2022-05-11,NVDA,BUY,2,16.605215072631836,406.9636821746826,{'NVDA': 822},14056.450471878052
2022-05-12,NVDA,BUY,2,16.150896072387695,374.6618900299072,{'NVDA': 824},13683.000253677368
2022-05-13,NVDA,BUY,2,17.679611206054688,339.30266761779785,{'NVDA': 826},14942.66152381897
2022-05-16,NVDA,BUY,1,17.238271713256836,322.064395904541,{'NVDA': 827},14578.115102767944
2022-05-17,NVDA,BUY,1,18.14990997314453,303.9144859313965,{'NVDA': 828},15332.039943695068
2022-05-18,NVDA,BUY,1,16.912755966186523,287.00172996520996,{'NVDA': 829},14307.676425933838
2022-05-19,NVDA,BUY,1,17.098480224609375,269.9032497406006,{'NVDA': 830},14461.641836166382
2022-05-20,NVDA,BUY,1,16.66912269592285,253.23412704467773,{'NVDA': 831},14105.275087356567
2022-05-23,NVDA,BUY,1,16.872819900512695,236.36130714416504,{'NVDA': 832},14274.547464370728
2022-05-24,NVDA,BUY,1,16.129924774169922,220.23138236999512,{'NVDA': 833},13656.45871925354
2022-05-25,NVDA,BUY,1,16.949705123901367,203.28167724609375,{'NVDA': 834},14339.335750579834
2022-05-26,NVDA,BUY,1,17.824392318725586,185.45728492736816,{'NVDA': 835},15068.824871063232
2022-06-01,NVDA,BUY,1,18.292695999145508,167.16458892822266,{'NVDA': 836},15459.858444213867
