Date,Ticker,Action,Shares,Trade Price,Cash Balance,Portfolio Snapshot,Total Portfolio Value
2022-03-22,GOOGL,SELL,3,139.36280822753906,18460.5056476593,"{'META': 2, 'MSFT': 1, 'TSLA': 1, 'V': 2}",19906.00436592102
2022-03-22,JNJ,BUY,3,161.44882202148438,17976.15918159485,"{'META': 2, 'MSFT': 1, 'TSLA': 1, 'V': 2, 'JNJ': 3}",19906.00436592102
2022-03-22,META,SELL,2,215.8255615234375,18407.810304641724,"{'MSFT': 1, 'TSLA': 1, 'V': 2, 'JNJ': 3}",19916.285097122192
2022-03-22,MSFT,SELL,1,296.9863586425781,18704.7966632843,"{'TSLA': 1, 'V': 2, 'JNJ': 3}",19921.0710773468
2022-03-22,NVDA,BUY,18,26.484472274780273,18228.076162338257,"{'TSLA': 1, 'V': 2, 'JNJ': 3, 'NVDA': 18}",19921.0710773468
2022-03-22,TSLA,SELL,1,331.32666015625,18559.402822494507,"{'V': 2, 'JNJ': 3, 'NVDA': 18}",19945.34439277649
2022-03-22,V,SELL,2,213.8369598388672,18987.07674217224,"{'JNJ': 3, 'NVDA': 18}",19948.14370918274
2022-03-23,AMZN,BUY,3,163.4080047607422,18496.852727890015,"{'JNJ': 3, 'NVDA': 18, 'AMZN': 3}",19948.14370918274
2022-03-23,BRK-B,BUY,1,348.1600036621094,18148.692724227905,"{'JNJ': 3, 'NVDA': 18, 'AMZN': 3, 'BRK-B': 1}",19948.14370918274
2022-03-23,GOOGL,BUY,3,137.7760467529297,17735.364583969116,"{'JNJ': 3, 'NVDA': 18, 'AMZN': 3, 'BRK-B': 1, 'GOOGL': 3}",19948.14370918274
2022-03-23,JNJ,BUY,3,160.8399200439453,17252.84482383728,"{'JNJ': 6, 'NVDA': 18, 'AMZN': 3, 'BRK-B': 1, 'GOOGL': 3}",19946.317003250122
2022-03-23,META,BUY,2,212.647705078125,16827.54941368103,"{'JNJ': 6, 'NVDA': 18, 'AMZN': 3, 'BRK-B': 1, 'GOOGL': 3, 'META': 2}",19946.317003250122
2022-03-23,MSFT,BUY,1,292.52264404296875,16535.02676963806,"{'JNJ': 6, 'NVDA': 18, 'AMZN': 3, 'BRK-B': 1, 'GOOGL': 3, 'META': 2, 'MSFT': 1}",19946.317003250122
2022-03-23,NVDA,BUY,19,25.595800399780273,16048.706562042236,"{'JNJ': 6, 'NVDA': 37, 'AMZN': 3, 'BRK-B': 1, 'GOOGL': 3, 'META': 2, 'MSFT': 1}",19930.320909500122
